Vocal,Learn,Test,Wrong,Mymeaning,Meaning,Addon1,Addon2,Addon3
prying,1.0,0.0,0.0,八卦的,adj. 爱打听的，窥探的 trying to find about other people’s private lives, prying eyes 窥探的目光," inquisitive, officious",
censorious,1.0,0.0,0.0,严格的,adj. 爱挑剔的，苛刻的 criticizing and expressing disapproval, censorious comments 苛刻的评论," captious, fastidious", censure v.指责
peripatetic,1.0,0.0,0.0,漫游的,adj. 漫游的 walking about, a peripatetic lifestyle 四处游历的生活方式," nomadic, itinerant",
indict,1.0,0.0,0.0,起诉,v. 控告，起诉 to officially charge someone, indict him for murder 起诉他谋杀," excoriate, incriminate",
misnomer,1.0,0.0,0.0,错误称呼,n. 用词不当，误称 a wrong use of a name, ‘silent movie’ is a misnomer since the movies usually had a musical accompaniment “无声电,,
wary,1.0,0.0,0.0,小心翼翼,adj. 小心谨慎的 careful, be wary of strangers 警惕陌生人," chary, circumspect, cautious",
exhilarate,1.0,0.0,0.0,使开心,v. 使高兴 make someone feel happy, exhilarated by her success 为她的成功感到开心,,
predicament,1.0,0.0,0.0,困境,n. 困境 a difficult situation, a financial predicament 财政困境," dilemma, plight, quandary",
jar,1.0,0.0,0.0,冲突,v. 冲突 conflict, His opinion jarred with ours. 他的意见与我们的不一致。,, jarring adj.相冲突的，刺耳的
opulent,1.0,0.0,0.0,豪华的,adj. 豪华的 places look grand and expensive, opulent venue 豪华的场地, luxurious,
malady,1.0,0.0,0.0,恶疾,n. 疾病 a disease or illness, a fatal malady 致命的疾病," ailment, condition, complaint",
clandestine,1.0,0.0,0.0,秘密的,adj. 秘密的 done or kept secret, clandestine love affair 秘密的恋情," covert, furtive, surreptitious",
knotty,1.0,0.0,0.0,复杂的,adj. 复杂的 complex and difficult to solve, an array of knotty issues 一系列复杂的问题," intricate, convoluted, involved, labyrinthine, complicated",
dichotomy,1.0,0.0,0.0,矛盾,n. 对立，矛盾 an opposition between two things, a dichotomy between his public and private lives 他公众生活和私生活的两面性,contradiction,
courteous,1.0,0.0,0.0,严肃的正式的,adj. 有礼貌的 polite and respectful, courteous hotel staff 有礼貌的酒店员工, urbane,
truculent,1.0,0.0,0.0,好斗的,adj. 好斗的，脾气不好的 bad-tempered and aggressive, a truculent attitude 好斗的态度," belligerent, pugnacious, combative, bellicose",
insouciant,1.0,0.0,0.0,漫不经心的,adj. 不在乎的 free from concern, an insouciant shrug 无所谓的耸耸肩," indifferent, nonchalant",
flagrant,1.0,0.0,0.0,明目张胆的,adj. 明目张胆的 extremely bad in an obvious way, a flagrant violation of law 公然违法," blatant, egregious",
anachronistic,1.0,0.0,0.0,不符合时代,adj. 时代错误的，穿越的 placed in a wrong time, anachronistic commentary 时代错误的评论, ahistorical,
anachronistic,1.0,0.0,0.0,过时的,adj. 过时的 out of date or old-fashioned, an anachronistic view 过时的观点," obsolete, outmoded",
venerate,1.0,0.0,0.0,尊敬,v. 尊敬 feel great respect for someone, venerated as a saint 被奉为圣人," revere, deify", venerable adj.令人尊敬的 veneration n.尊敬
upheaval,1.0,0.0,0.0,剧变,n. （引起问题的）剧变 a big change that cause problem, political upheaval 政治剧变," convulsion, maelstrom",
mendacity,1.0,0.0,1.0,,n. 欺骗 lying, a business full of mendacity 充满欺骗的行业, prevarication,
ubiquitous,1.0,0.0,0.0,无处不在的,adj. 无处不在的 present everywhere, ubiquitous background noise 无处不在的背景噪音," common, universal, omnipresent",
jejune,1.0,0.0,0.0,无聊的,adj. 无聊的 boring,"a long, jejune night 漫长而无聊的夜晚"," dull, monotonous, tedious, vapid, insipid",
clownish,1.0,0.0,0.0,滑稽的,adj. 滑稽可笑的 acting in a silly and funny way, a clownish sense of humor 滑稽的幽默感,,
lethargic,1.0,0.0,0.0,无精打采的,adj. 无精打采的，懒洋洋的 lack of energy, lethargic and sleepy 又懒又困," inert, somnolent, indolent",
fungible,1.0,0.0,0.0,可替换的,adj. 可互换的，相似的 able to be replaced by another equal part, crude oil is a fungible commodity 原油是可互换商品, interchangeable,
sensational,1.0,0.0,0.0,轰动的,"adj. 耸人听闻的，大新闻的 intended to interest, excite, or shock people", sensational headline 耸人听闻标题," lurid, daunting",
solicitous,1.0,0.0,0.0,关切的,adj. 关切的 showing concern for someone, a solicitous enquiry 关切的询问, considerate, solicitude n.关心，担心
pernicious,1.0,0.0,0.0,有害的,adj. 有害的 very harmful, the pernicious effects of poverty 贫穷的危害性," deleterious, detrimental, noxious",
dilatory,1.0,0.0,1.0,,adj. 磨蹭的 causing delay, dilatory tactics 拖延战术," sluggish, procrastinating, tardy, laggard",
cunning,1.0,0.0,0.0,狡猾的,adj. 狡猾的 clever in a deceptive way, a cunning plan 狡诈的计划," crafty, devious",
cunning,1.0,0.0,0.0,心灵手巧的,n. 心灵手巧 imaginative ability in inventing, construct with cunning 用心创作, craft,
far-fetched,1.0,0.0,0.0,脱离实际的,adj. 牵强的，不可信的 not likely to be true, a far-fetched plot 牵强的剧情," dubious, implausible, unbelievable",
exculpate,1.0,0.0,0.0,开脱,v. 使…无罪 to prove that someone is not guilty, exculpated by the testimony of witnesses 被目击者的证词证明无罪," absolve, vindicate, exonerate",
obfuscate,1.0,0.0,0.0,困惑的,v. 使困惑 make something unclear, obfuscate the readers 让读者困惑," baffle, mystify, confound, obscure, muddle",
droll,1.0,0.0,0.0,搞笑的,adj. 搞笑的 odd and amusing, droll stories 搞笑的故事, ludicrous, drollness n.逗逼
unwitting,1.0,0.0,0.0,不知情的,adj. 不知道的 without realizing, an unwitting mistake 无意的错误, unaware,
diatribe,1.0,0.0,0.0,抨击,n. （长篇）抨击 a long angry speech or scolding, a diatribe against racism 一个抨击种族主义的演讲," rant, condemnation, harangue",
ebullient,1.0,0.0,0.0,热情奔放的,adj. 热情奔放的 lively and enthusiastic, ebullient performers 热情奔放的表演者," effervescent, exuberant",
compunction,1.0,0.0,1.0,困境,n. 内疚 a feeling of guilt or regret, compunction of conscience 良心不安," misgiving, scruple",
propitiate,1.0,0.0,0.0,安抚,v. 安抚 appease, propitiate the angry gods 求神息怒," assuage, conciliate, mollify",
unassuming,1.0,0.0,0.0,谦逊的,adj. 谦逊的 modest, an unassuming and kindly man 谦逊和蔼的人," unpretentious, humble",
lionize,1.0,0.0,0.0,将人明星化,v. 追捧 to treat someone as a celebrity, lionize him enthusiastically 疯狂地吹捧他," aggrandize, canonize, deify, eulogize",
preachy,1.0,0.0,0.0,爱说教的,adj. 喜欢说教的 trying to give much moral advice, a preachy TV show 说教的电视节目," moralistic, sanctimonious",
felicitous,1.0,0.0,0.0,合适的,adj. 合适的，恰当的 well-chosen and suitable, a felicitous phrase 恰当的措辞,,
cynic,1.0,0.0,0.0,反人类的,n. 反人类的喷子 a person who believes all people are selfish, a cynic might think that the governor visited the hospital just to gain votes 一个喷子会认为州," misanthrope, naysayer",
spontaneous,1.0,0.0,0.0,自发的,adj. 自然而然的 not been planned or organized, a spontaneous reaction 自发的反应," automatic, intuitive, instinctive",
stale,1.0,0.0,0.0,平淡的,adj. 陈旧乏味的 not new and dull, a stale joke 老掉牙的笑话," banal, hackneyed",
transient,1.0,0.0,0.0,短暂的,adj. 短暂的 lasting only a short time, transient pleasure 短暂的快乐," transitory, ephemeral, evanescent, fleeting",
soft-pedal,1.0,0.0,0.0,缓冲,v. 减弱，缓和 to treat something as less important, soft-pedal bad news 对坏消息轻描淡写," downplay, de-emphasize",
feign,1.0,0.0,0.0,假装,v. 假装 to give a false appearance of, feign illness 装病," affect, false (adj.)",
improvise,1.0,0.0,0.0,即兴的,v. 即兴创作 performed with little or no preparation, improvise a song 即兴创作歌曲," ad-lib, impromptu, offhand",
vilify,1.0,0.0,0.0,辱骂,v. 辱骂 to say or write bad things about someone, vilified by the press 被媒体诋毁," calumniate, malign, slander, pillory, slur",
unflinching,1.0,0.0,0.0,坚定不移的,adj. 不畏缩的 strong and determined, unflinching determination 坚定不移的决心, steadfast,
equanimity,1.0,0.0,0.0,平静的,"n. 镇静, 佛系 calmness of mind", accept both the good and the bad with equanimity 是好是坏都坦然接受," tranquility, aplomb",
stifle,1.0,0.0,0.0,,v. 抑制 to hold back, stifle free expression 限制言论自由," repress, shackle",
stalwart,1.0,0.0,0.0,坚定不移的,adj. 坚定的，忠诚的 firm and resolute, a stalwart supporter 坚定的支持者, adamant,
condescending,1.0,0.0,0.0,居高临下的,adj. 居高临下的 displaying a superior attitude, treat someone in a condescending manner 以居高临下的态度对待某人, patronizing,
predilection,1.0,0.0,0.0,偏爱,n. 偏爱 preference, a predilection for travel 偏爱旅行," penchant, proclivity",
exorbitant,1.0,0.0,0.0,过度的,adj. 过度的 the price is much higher than it should be, exorbitant prices 过高的价格," unconscionable, excessive, overdue",
callow,1.0,0.0,0.0,不成熟的,adj. 不成熟的 immature, a callow youth 未经世事的年轻人," juvenile, puerile",
sketchy,1.0,0.0,0.0,潦草的,adj. 粗略的 without many details, details are still sketchy 细节仍旧不详," superficial, rudimentary",
dovish,1.0,0.0,0.0,和平的,adj. 爱好和平的 advocating peace, dovish faction 鸽派分子," pacific, irenic",
presage,1.0,0.0,0.0,预示,v. 预示 to be a sign that something will happen, presage the future 预知未来," harbinger, portend, project",
abstemious,1.0,0.0,1.0,,adj. 有节制的 not eating or drinking too much, an abstemious diet 有节制的饮食," moderate, austere",
astute,1.0,0.0,1.0,平淡的,adj. 精明的 notice and understand clearly, astute investments 精明的投资," shrewd, canny, savvy",
culmination,1.0,0.0,0.0,顶峰,n. 最终的顶峰 the highest point or end of something, the successful culmination of a long campaign 一场长期运动的顺利结束, conclusion,
lambaste,1.0,0.0,0.0,严厉的,v. 严厉批评 to scold sharply, lambaste me for my careless mistake 斥责了我的粗心错误," denounce, castigate, vituperate",
pensive,1.0,0.0,0.0,忧愁的,adj. 沉思的，忧伤的 thinking deeply about something that worries you, a pensive mood 沉思的心情,,
sober,1.0,0.0,0.0,严厉的,adj. 严肃的 serious, a sober reply 严肃的回复," grave, solemn",
incendiary,1.0,0.0,0.0,煽情的,adj. 煽动性的 causing strong feelings or violence, incendiary slogans 煽动性的标语," inflammatory, seditious",
synopsis,1.0,0.0,0.0,总结,n. 摘要 a brief outline, a synopsis of the movie 电影的情节摘要,recapitulation,
modicum,1.0,0.0,0.0,少量的,n. 少量 a small amount, a modicum of food quota 极少量的食物配额,,
punctilious,1.0,0.0,0.0,一丝不苟的,adj. 一丝不苟的 extremely careful, punctilious about grammar 语法一丝不苟," conscientious, scrupulous, meticulous",
free-for-all,1.0,0.0,0.0,混乱的,n. 混乱 a chaotic situation, sparkle a free-for-all 引起一场混战, disorder,
reminiscent,1.0,0.0,0.0,念旧的,adj. 怀旧的 thinking about the past, a reminiscent narrative 怀旧的故事,,
elusive,1.0,0.0,0.0,不明显的,adj. 难以捕捉的 hard to capture, elusive prey 难以捕捉的猎物," evasive, slippery",
elusive,1.0,0.0,0.0,不明显的,难懂的 difficult to understand,an elusive poem 难懂的诗," mysterious, cryptic",
quixotic,1.0,0.0,1.0,,adj. 不切实际的 unrealistic, quixotic dreams about the dream 对未来不切实际的幻想," impractical, utopian, idealistic",
austere,1.0,0.0,0.0,平淡的,adj. 简朴的 simple; avoiding physical pleasure,austere life in troop 部队中朴素的生活,"abstemious, spartan",
hazardous,1.0,0.0,0.0,有害的,adj. 危险的 dangerous, hazardous chemicals 危险的化学制品," perilous, precarious",
sanguine,1.0,0.0,1.0,,adj. 乐观的 happy and hopeful, take a sanguine view 持乐观态度, optimistic,
proliferate,0.0,0.0,0.0,,v. 快速增加 grow rapidly, proliferated ideas 层出不穷的想法, abound,
paucity,0.0,0.0,0.0,,n. 缺乏 smallness of number, an extreme paucity of natural resources 极度匮乏的自然资源, dearth,
univocal,0.0,0.0,0.0,,adj. 含义明确的 clearly expressed, a univocal message of support 明确表示支持," clear-cut, explicit",
impertinent,0.0,0.0,0.0,,adj. 粗鲁的 rude, an impertinent child 没有礼貌的孩子,"presumptuous, insolent, impudent",
impertinent,0.0,0.0,0.0,,adj. 不相关的 not direct relating to,impertinent response 不相关的回应,"extraneous, irrelevant",
apropos,0.0,0.0,0.0,,adj. 相关的，合适的 appropriate and relevant, apropos questions 相关问题, germane,
concoct,0.0,0.0,0.0,,v. 编造 to invent a story to deceive people, concoct an excuse 编造借口, fabricate,
virtuous,0.0,0.0,0.0,,adj. 品德高尚的 moral, a virtuous decision 高尚的决定, ethical,
erudite,0.0,0.0,0.0,,adj. 博学的 full of knowledge, an erudite scholar 博学的学者," knowledgeable, learned", erudition n.博学
magnanimous,0.0,0.0,0.0,,adj. 宽宏大量的 generous and forgiving, a magnanimous gesture 大度的姿态,,
stratify,0.0,0.0,0.0,,v. 将……分成各种等级 to divide into classes, stratify a society 将社会分层,,stratification n. 阶层
palatable,0.0,0.0,0.0,,adj. 美味的 delicious, a palatable wine 美味的红酒," appetizing, savory",
esoteric,0.0,0.0,0.0,,adj. 难懂的 difficult to understand, esoteric terminology 难懂的术语," abstruse, recondite, impenetrable, arcane, inscrutable, unfathomable",
hamstring,0.0,0.0,0.0,,v. 阻碍 to make ineffective, hamstrung by government regulations 被政府规定所束缚," impede, impair",
impenetrable,0.0,0.0,0.0,,adj. 难懂的 incapable of being comprehended, impenetrable jargon 听不懂的术语," abstruse, recondite, esoteric, arcane, inscrutable, unfathomable",
debunk,0.0,0.0,0.0,,v. 揭穿真相 to reveal the true nature of, debunk fake advertising slogans 揭穿虚假的宣传口号,,
umbrage,0.0,0.0,0.0,,n. 生气 anger, take umbrage at something 为某事感到生气," offense, resentment",
ramification,0.0,0.0,0.0,,"n. 影响 result, implication", the ramifications of a court decision 法庭判决的后续影响,,
garrulous,0.0,0.0,0.0,,adj. 话多的 talkative, garrulous travelling companions 多话的旅伴," loquacious, verbose, prolix, long-winded",
raillery,0.0,0.0,0.0,,n. 玩笑 friendly joking, affectionate raillery 亲切的玩笑, banter,
exasperate,0.0,0.0,0.0,,v. 激怒 to excite anger, exasperated by the flight delay 被飞机延误激怒," vex, nettle, incense",
feckless,0.0,0.0,0.0,,adj. 没用的，无效的 ineffective, feckless negotiations 毫无成果的谈判," bootless, futile, fruitless",
attenuate,0.0,0.0,0.0,,v. 减弱 to lessen, an investment attenuated by inflation 一项因通货膨胀而贬值的投资," weaken, devalue",
impugn,0.0,0.0,0.0,,"v. 指责 to attack, to blame", impugn a political opponent’s character 指责政治对手的人品," assail, impeach",
pejorative,0.0,0.0,0.0,,adj. 贬低的 disparaging, a pejorative term 贬义词," ridiculed, disdainful, contemptuous, scornful",
blithe,0.0,0.0,0.0,,adj. 无忧无虑的 happy and having no worries, a blithe and carefree girl 快乐无忧的女孩," jocular, jubilant, jovial, mirthful, buoyant",
hypercritical,0.0,0.0,0.0,,adj. 挑剔的，吹毛求疵的 criticizing other people or things too strongly or too often, a hypercritical person about food 对食物挑剔的人," captious, fastidious",
traumatic,0.0,0.0,0.0,,adj. 痛苦的 extremely unpleasant, a traumatic experience 一次痛苦的经历,,
abeyance,0.0,0.0,0.0,,n. 暂停 temporary inactivity, hold the plan in abeyance 暂停计划," quiescence, dormancy",
torpor,0.0,0.0,0.0,,n. 麻木，迟钝 physical or mental inactivity, a state of torpor 萎靡不振," inertness, lassitude", torpid adj. 迟钝的，不活跃的
revelation,0.0,0.0,0.0,,n. 揭露，爆料 the act of making known a surprising secret fact, sensational revelation about her private life 对她私生活的轰动性的揭露," disclosure, divulgence",
prolific,0.0,0.0,0.0,,adj. 多产的 producing many works, a prolific writer 多产的作家," fecund, fertile, productive, lush",
alacrity,0.0,0.0,0.0,,n. 欣然乐意 willingness, accept the invitation with alacrity 欣然接受邀请,,
lull 发音law,0.0,0.0,0.0,,n. 间歇期 a period of calm in a longer period of excitement, the lull before the storm 暴风雨前的平静," respite, relief",
gadfly,0.0,0.0,0.0,,n. 惹人讨厌的人 an annoying person, a political gadfly 讨厌的政客,,
overwrought,0.0,0.0,0.0,,adj. 过度激动的 extremely excited, be emotionally overwrought 情绪过分激动," agitated, frenzied",
malleable,0.0,0.0,0.0,,adj. 可塑的，易受影响的 capable of being easily changed, a malleable child 一个容易受影响的孩子, plastic,
encumber,0.0,0.0,0.0,,v. 阻碍 to impede the function or activity of, encumber their progress 阻碍他们的进步," hamper, hinder, impede",
barbarous,0.0,0.0,0.0,,adj. 野蛮的，凶残的 rough and crude, insulted by barbarous language 被粗暴的言语侮辱,"cruel, crude, brutal",
sanctimonious,0.0,0.0,0.0,,adj. 假装有道德的 pretending to be morally better than other people, sanctimonious politicians 伪善的政客," preachy, didactic, hypocritical, self-righteous",
pseudonym,0.0,0.0,0.0,,n. 假名 a fake name, write under a pseudonym 用假名写作,,
inexorable/exorable,0.0,0.0,0.0,,adj. 无法阻止的 not to be stopped/可说服的, the seemingly inexorable rise in crime 似乎无法阻止的犯罪率上升,,
scintillating,0.0,0.0,0.0,,adj. 生动有趣的 brilliantly and excitingly clever or skillful, scintillating conversation 妙趣横生的谈话,,
deferential,0.0,0.0,0.0,,adj. 恭敬的 show respect to someone, deferential attitude 恭敬的态度, respectful,
lament,0.0,0.0,0.0,,v. 为……哀悼 to express sadness or regret, lament an innocent death 为无辜的死者哀悼, bemoan,
fortuitous,0.0,0.0,0.0,,adj. 意外的，幸运的 happening by chance, a fortuitous coincidence 意外的巧合," serendipitous, accidental",
lugubrious,0.0,0.0,0.0,,adj. 悲哀的 very sad and unhappy, his lugubrious tear-stained face 他忧郁的带着泪痕的脸庞," gloomy, melancholy, plaintive, somber",
tenuous,0.0,0.0,0.0,,"adj. 脆弱的，站不住脚的 weak, uncertain", a tenuous point 站不住脚的论点,,
flabbergast,0.0,0.0,0.0,,v. 使大吃一惊 to shock or surprise someone very much, flabbergasted by the news that he had won the lottery 被他中彩票的消息震惊到, startle,
undiscriminating,0.0,0.0,0.0,,adj. 不加区别的 lacking of careful choice, a voracious and undiscriminating eater 胃口大且什么都吃的人, indiscriminate,
palpable,0.0,0.0,0.0,,adj. 感觉得到的 obvious and easily noticed, a palpable difference 明显的差别," sensible, perceptible, discernable",impalpable adj. 不能感知的
effusive,0.0,0.0,0.0,,adj. 充满感情的 excessive in emotional expression, effusive in praise 充满感情的赞美," emotional, demonstrative",
sluggish,0.0,0.0,0.0,,adj. 缓慢的 slow, the sluggish pace of the project 项目的缓慢进展," tardy, dilatory",
multifarious,0.0,0.0,0.0,,adj. 多种多样的 of many different kinds, multifarious traditions and peoples 多种多样的传统与民族,,
panacea,0.0,0.0,0.0,,n. 万灵药 a remedy for all ills or difficulties, the panacea for all corporate ills 解决公司各种问题的万灵药," cure-all, nostrum",
countenance,0.0,0.0,0.0,,"v. 赞同 to accept, support or approve of", countenance the use of force 赞同使用武力, favor,
taint,0.0,0.0,0.0,,v. 玷污，破坏 to damage or spoil the quality of, taint someone’s reputation 玷污某人的名誉," mar, blemish, tarnish",
prosaic,0.0,0.0,0.0,,adj. 单调的 common and dull, the prosaic side of life 生活平淡的一面," mundane, commonplace, routine",
malfeasance,0.0,0.0,0.0,,n. 非法行为 improper or illegal behavior, allegation of malfeasance 对非法行为的指控," fraudulence, wrongdoing",
counterfeit,0.0,0.0,0.0,,"adj. 假冒的 fake, feigned", counterfeit money 假币," false, forged, bogus",
conundrum,0.0,0.0,0.0,,n. 谜 mystery, a difficult conundrum even for the experts 一道即便是专家也束手无策的难题, enigma riddle,
anthropogenic,0.0,0.0,0.0,,adj. 人为的 resulting from the influence of humans, anthropogenic degradation of the environment 人为造成的环境恶化, caused by human,
flippant,0.0,0.0,0.0,,adj. 轻率的，不严肃的 lacking proper respect or seriousness, a flippant attitude 轻率的态度, frivolous,
paltry,0.0,0.0,0.0,,adj. 少量的，不重要的 very small and insignificant, paltry amounts of money 少量的钱," meager, trivial, petty",
miserly,0.0,0.0,0.0,,adj. 吝啬的，小气的 not liking spending money, miserly with money 吝啬金钱," illiberal, stingy, parsimonious",
polemical,0.0,0.0,0.0,,adj. 引起争论的 involving strong arguments, a biting polemical novel 尖锐的辩论小说," contentious, quarrelsome",
unimpeachable,0.0,0.0,0.0,,adj. 无懈可击的 beyond doubt, unimpeachable evidence 确凿的证据," unassailable, unexceptionable",
fraudulent,0.0,0.0,0.0,,adj. 欺诈的 intended to cheat someone, a fraudulent interpretation of experimental data 对实验数据的欺骗性解释," deceptive, duplicitous", fraud n.骗子
mediocre,0.0,0.0,0.0,,"adj. 普通的 ordinary, common", a mediocre job 普通的工作, run-of-the-mill,
malign,0.0,0.0,0.0,,v. 诽谤 say unpleasant and untrue things, malign his rivals 诽谤他的对手," slur, slander, defame, calumniate",
perpetual,0.0,0.0,0.0,,adj. 永恒的 continuing forever, perpetual motion machine 永动机," eternal, immortal, everlasting",
anathema,0.0,0.0,0.0,,n. 令人讨厌的人或事 something or someone that is hated, violence is anathema to us 我们对暴力深恶痛绝," detestation, antipathy, abhorrence",
enchanting,0.0,0.0,0.0,,adj. 迷人的 attractive, an enchanting view 迷人的景色," captivating, prepossessing",
hortatory,0.0,0.0,0.0,,adj. 鼓励的 giving encouragement, a hortatory speech 鼓舞人心的演讲,,
apprehend,0.0,0.0,0.0,,v. 理解 to understand, apprehend the importance of something 理解某事的重要性," comprehend, grasp",
apprehend,0.0,0.0,0.0,,v. 恐惧 fear,apprehend violence 恐惧暴力,,apprehension n. 恐惧 apprehensive adj. 担心的
irascible,0.0,0.0,0.0,,adj. 易怒的 becoming angry easily, an irascible old man 一位脾气暴躁的老人," exasperated, pugnacious, cantankerous, choleric",irascibility n. 易怒
deprecate,0.0,0.0,0.0,,v. 贬低 to express scornfully one’s low opinion of, deprecate your own worth 贬低你自己的价值," belittle, detract, disparage",deprecatory adj.贬低的
self-defeating,0.0,0.0,0.0,,adj. 适得其反的 causing more problems than it solves, a self-defeating policy 适得其反的政策,,
somnolent,0.0,0.0,0.0,,adj. 无聊的，催眠的 making you want to sleep, a somnolent summer’s afternoon 令人昏昏欲睡的夏日午后, soporific,
meddle,0.0,0.0,0.0,,v. 干预 interfere, meddle in my marriage 干涉我的婚姻,,
sacrosanct,0.0,0.0,0.0,,adj. 极为神圣的 most sacred or holy, sacrosanct rights 神圣不可侵犯的权利," hallowed, inviolable",
comity,0.0,0.0,0.0,,n. 友好 friendly social atmosphere, group activities promoting comity 促进和谐氛围的团队活动," friendship, compatibility",
trepidation,0.0,0.0,0.0,,n. 恐惧 fear, trepidation about starting a new career 对开创一项新事业感到恐惧, apprehension,
dampen,0.0,0.0,0.0,,v. 抑制，泼冷水 to make something less strong, dampen their enthusiasm 扼杀他们的热情,deaden,
